eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C6F8,FINISAR,XGIG,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,2004920042,SDU Spares,SDU-RTP10,3
005C6F9,EMPIRIX,GIGABIT ETHERNET INTERFACE,RTP10 SDU Lab,D,19,020022838,ACTIVE,256840013,SDU Spares,SDU-RTP10,3
005C6FA,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020848,SDU Spares,SDU-RTP10,3
005C6FB,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236120895,SDU Spares,SDU-RTP10,3
005C6FC,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020854,SDU Spares,SDU-RTP10,3
005C6FE,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY46151604,SDU Spares,SDU-RTP10,3
005C6FF,AGILENT,ROUTER TESTER 900,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY43130301,SDU Spares,SDU-RTP10,3
005C700,CISCO,WS-SUP720-3B,RTP10 SDU Lab,I,11,020022838,ACTIVE,SAL1004BR84,SDU Spares,SDU-RTP10,3
005C701,CISCO,WS-SUP720-3B,RTP10 SDU Lab,I,14,020022838,ACTIVE,SAL1034ZCKC,SDU Spares,SDU-RTP10,3
005C702,CISCO,WS-X6748-SFP,RTP10 SDU Lab,D,29,020022838,ACTIVE,SAL1213K7U9,SDU Spares,SDU-RTP10,3
005C703,FINISAR,XGIG-4FG4G1,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,BE0640BH13,SDU Spares,SDU-RTP10,3
005C704,AGILENT,E7904A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY43370314,SDU Spares,SDU-RTP10,3
005C705,CISCO,15216-DCU-750,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,OFS130700BN,SDU Spares,SDU-RTP10,3
005C706,AGILENT,1733A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,MY45471612,SDU Spares,SDU-RTP10,3
005C707,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020855,SDU Spares,SDU-RTP10,3
005C708,AGILENT,1735A,RTP10 SDU Lab,JJ,01,020022838,ACTIVE,01735-66401006ZZ510000025,SDU Spares,SDU-RTP10,3
005C709,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020878,SDU Spares,SDU-RTP10,3
005C70A,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020856,SDU Spares,SDU-RTP10,3
